"autor","l0","l1","l2","gender"
"Richa Singh","Asian","IndianSubContinent","\N","F"
"Rida A. Bazzi","GreaterAfrican","Muslim","\N","F"
"Rida Laraki","GreaterAfrican","Muslim","\N","F"
"Rie Honda","Asian","GreaterEastAsian","Japanese","F"
"Rie Johnson","GreaterEuropean","British","\N","F"
"Rie Kubota Ando","Asian","GreaterEastAsian","Japanese","F"
"Rie Sawai","Asian","GreaterEastAsian","Japanese","F"
"Rie Tanaka","Asian","GreaterEastAsian","Japanese","F"
"Rieko Inaba","Asian","GreaterEastAsian","Japanese","F"
"Rieko Kadobayashi","Asian","GreaterEastAsian","Japanese","F"
"Rieko Suzuki","Asian","GreaterEastAsian","Japanese","F"
"Riham Abdel Kader","Asian","IndianSubContinent","\N","F"
"Rihua Wei","Asian","GreaterEastAsian","EastAsian","F"
"Riikka Henriksson","GreaterEuropean","British","\N","F"
"Riina Maigre","GreaterEuropean","WestEuropean","French","F"
"Rika Okada","Asian","GreaterEastAsian","Japanese","F"
"Rika Okamoto","Asian","GreaterEastAsian","Japanese","F"
"Rikke Aarhus","GreaterEuropean","WestEuropean","Nordic","F"
"Rikke Bendlin","GreaterEuropean","WestEuropean","Nordic","F"
"Rikke Gade","GreaterEuropean","WestEuropean","Nordic","F"
"Rikke Orngreen","GreaterEuropean","WestEuropean","Nordic","F"
"Rilla Khaled","GreaterAfrican","Muslim","\N","F"
"Rim Chaabane","GreaterAfrican","Muslim","\N","F"
"Rim Faiz","GreaterAfrican","Muslim","\N","F"
"Rim Mahouachi","GreaterAfrican","Muslim","\N","F"
"Rim Moussa","GreaterAfrican","Africans","\N","F"
"Rim Zghal Rebaï","GreaterAfrican","Muslim","\N","F"
