"autor","l0","l1","l2","gender"
"Alinda Friedman","GreaterEuropean","Jewish","\N","F"
"Aline A. Vanin","GreaterEuropean","Jewish","\N","F"
"Aline Baggio","GreaterEuropean","WestEuropean","Italian","F"
"Aline Belloni","GreaterEuropean","WestEuropean","French","F"
"Aline Carneiro Viana","GreaterEuropean","WestEuropean","Hispanic","F"
"Aline Gouget","GreaterEuropean","WestEuropean","French","F"
"Aline Medeiros Saettler","GreaterEuropean","WestEuropean","Hispanic","F"
"Aline Senart","GreaterAfrican","Muslim","\N","F"
"Aline Villavicencio","GreaterEuropean","WestEuropean","Hispanic","F"
"Alisa Acosta","GreaterEuropean","WestEuropean","Hispanic","F"
"Alisa J. Maas","GreaterEuropean","WestEuropean","Germanic","F"
"Alisa Kovtunova","GreaterEuropean","EastEuropean","\N","F"
"Alisa M. Marshall","GreaterEuropean","British","\N","F"
"Alisa Strizhevskaya","GreaterEuropean","EastEuropean","\N","F"
"Alisa Zhila","Asian","GreaterEastAsian","EastAsian","F"
"Alison Benjamin","GreaterAfrican","Africans","\N","F"
"Alison Black","GreaterEuropean","British","\N","F"
"Alison Burrows","GreaterEuropean","British","\N","F"
"Alison Cichowlas","GreaterEuropean","Jewish","\N","F"
"Alison Cossette","GreaterEuropean","British","\N","F"
"Alison E. Sue","Asian","GreaterEastAsian","EastAsian","F"
"Alison Fernandez","GreaterEuropean","WestEuropean","Hispanic","F"
"Alison Lennon","GreaterEuropean","British","\N","F"
"Alison M. Clark","GreaterEuropean","British","\N","F"
"Alison McKenzie","GreaterEuropean","British","\N","F"
"Alison Walsh","GreaterEuropean","British","\N","F"
"Alison Williams","GreaterEuropean","British","\N","F"
"Alissa Centivany","GreaterEuropean","WestEuropean","Italian","F"
"Alissa Nicole Antle","GreaterEuropean","WestEuropean","French","F"
"Alisson Neres Lindoso","GreaterEuropean","WestEuropean","Hispanic","F"
"Alix Goguey","GreaterEuropean","British","\N","F"
"Alix L. H. Chow","GreaterEuropean","British","\N","F"
"Alix Mougenot","GreaterEuropean","WestEuropean","French","F"
"Aliya Deri","GreaterAfrican","Muslim","\N","F"
"Aliya Merali","GreaterAfrican","Muslim","\N","F"
"Aliye Özge Kaya","GreaterAfrican","Muslim","\N","F"
"Aliza Gold","GreaterEuropean","Jewish","\N","F"
"Alkmini Sgouritsa","GreaterAfrican","Muslim","\N","F"
"Alla Anohina-Naumeca","Asian","GreaterEastAsian","Japanese","F"
"Alla Genkina","GreaterEuropean","EastEuropean","\N","F"
"Alla Lapidus","GreaterEuropean","EastEuropean","\N","F"
"Alla Rozovskaya","GreaterEuropean","EastEuropean","\N","F"
"Allegra Cornaglia","GreaterEuropean","WestEuropean","Italian","F"
"Allison Aiello","GreaterEuropean","WestEuropean","Italian","F"
"Allison B. Lewko","GreaterEuropean","British","\N","F"
"Allison Bishop","GreaterEuropean","British","\N","F"
"Allison Bishop Lewko","GreaterEuropean","British","\N","F"
"Allison Brown","GreaterEuropean","British","\N","F"
"Allison Chambliss","GreaterEuropean","WestEuropean","French","F"
"Allison D'Amour","GreaterEuropean","WestEuropean","French","F"
"Allison Druin","GreaterEuropean","WestEuropean","Italian","F"
"Allison Farber","GreaterEuropean","Jewish","\N","F"
"Allison Hoch","GreaterEuropean","British","\N","F"
"Allison Holloway","GreaterEuropean","British","\N","F"
"Allison L. Holloway","GreaterEuropean","British","\N","F"
"Allison L. Powell","GreaterEuropean","British","\N","F"
"Allison Mankin","GreaterEuropean","Jewish","\N","F"
"Allison P. Heath","GreaterEuropean","British","\N","F"
"Allison Sauppé","GreaterEuropean","WestEuropean","Italian","F"
"Allison Terrell","GreaterEuropean","British","\N","F"
"Allison W. Lee","GreaterEuropean","British","\N","F"
"Allison Waingold","GreaterEuropean","British","\N","F"
"Allison Woodruff","GreaterEuropean","British","\N","F"
"Allyson Fiona Hadwin","GreaterEuropean","Jewish","\N","F"
"Allyson Hadwin","GreaterEuropean","Jewish","\N","F"
"Allyson Rosen","GreaterEuropean","Jewish","\N","F"
"Allyx Fontaine","GreaterEuropean","WestEuropean","French","F"
"Alma L. Juarez Dominguez","GreaterEuropean","WestEuropean","Hispanic","F"
"Alma Riska","GreaterEuropean","Jewish","\N","F"
"Almudena Konrad","GreaterEuropean","WestEuropean","Germanic","F"
"Almut Burchard","GreaterEuropean","British","\N","F"
"Almut Silja Hildebrand","GreaterEuropean","WestEuropean","Germanic","F"
"Alona Fyshe","GreaterEuropean","EastEuropean","\N","F"
"Aloni Cohen","GreaterEuropean","Jewish","\N","F"
"Alpa Jain","Asian","IndianSubContinent","\N","F"
"Alpa Sachde","GreaterAfrican","Muslim","\N","F"
"Alpana Dubey","Asian","IndianSubContinent","\N","F"
"Alpana Tiwari","Asian","IndianSubContinent","\N","F"
"Aluna Everitt","GreaterEuropean","British","\N","F"
"Alvina Goh","Asian","GreaterEastAsian","EastAsian","F"
"Aly A. Farag","GreaterAfrican","Muslim","\N","F"
"Aly S. Abdelrahim","GreaterAfrican","Muslim","\N","F"
"Alyson Leigh Young","Asian","GreaterEastAsian","EastAsian","F"
"Alyssa Glass","GreaterEuropean","Jewish","\N","F"
"Alyssa Mensch","GreaterEuropean","Jewish","\N","F"
"Alyssa Wright","GreaterEuropean","British","\N","F"
"Amaia Aizpurua","Asian","IndianSubContinent","\N","F"
"Amaia Salvador","GreaterEuropean","WestEuropean","Hispanic","F"
"Amal Ahmed","GreaterAfrican","Muslim","\N","F"
"Amal Benzina","GreaterEuropean","Jewish","\N","F"
"Amal Bouejla","GreaterAfrican","Africans","\N","F"
"Amal Chaminda Kaluarachchi","Asian","IndianSubContinent","\N","F"
"Amal Ekbal","GreaterAfrican","Muslim","\N","F"
"Amal El Fallah-Seghrouchni","GreaterEuropean","WestEuropean","French","F"
"Amal Elgammal","GreaterAfrican","Muslim","\N","F"
"Amal Elkharraz","GreaterAfrican","Muslim","\N","F"
"Amal J. Ahmed","GreaterAfrican","Muslim","\N","F"
"Amal Perera","GreaterEuropean","British","\N","F"
"Amal Zouaq","GreaterAfrican","Africans","\N","F"
"Amalia de Götzen","GreaterEuropean","WestEuropean","Germanic","F"
"Amalia Duch","GreaterEuropean","WestEuropean","Germanic","F"
"Amalia G. Sabiescu","GreaterEuropean","WestEuropean","Italian","F"
"Amalinda Post","GreaterEuropean","Jewish","\N","F"
"Amanda C. de C. Williams","GreaterEuropean","British","\N","F"
"Amanda Clare","GreaterEuropean","British","\N","F"
"Amanda Fonville","GreaterEuropean","WestEuropean","French","F"
"Amanda Gentzel","GreaterEuropean","Jewish","\N","F"
"Amanda Harris","GreaterEuropean","British","\N","F"
"Amanda J. Minnich","GreaterEuropean","Jewish","\N","F"
"Amanda J. Parkes","GreaterEuropean","British","\N","F"
"Amanda Jane Coles","GreaterEuropean","British","\N","F"
"Amanda K. Cowell","GreaterEuropean","British","\N","F"
"Amanda Lazar","GreaterEuropean","Jewish","\N","F"
"Amanda Lee Hughes","GreaterEuropean","British","\N","F"
"Amanda Lyons","GreaterEuropean","British","\N","F"
"Amanda M. Williams","GreaterEuropean","British","\N","F"
"Amanda Menking","GreaterEuropean","British","\N","F"
"Amanda Parkes","GreaterEuropean","British","\N","F"
"Amanda Pascoe","GreaterEuropean","British","\N","F"
"Amanda Pascoe Streib","GreaterEuropean","WestEuropean","Hispanic","F"
"Amanda Redlich","GreaterEuropean","EastEuropean","\N","F"
"Amanda Ren","Asian","GreaterEastAsian","EastAsian","F"
"Amanda Rodda-Tyler","GreaterEuropean","British","\N","F"
"Amanda Rotondo","GreaterEuropean","WestEuropean","Italian","F"
"Amanda Sávio Nascimento","GreaterEuropean","WestEuropean","Hispanic","F"
"Amanda Schwartz","GreaterEuropean","Jewish","\N","F"
"Amanda Sgroi","GreaterEuropean","WestEuropean","Italian","F"
"Amanda Smith","GreaterEuropean","British","\N","F"
"Amanda Spink","GreaterEuropean","British","\N","F"
"Amanda Stent","GreaterEuropean","British","\N","F"
"Amanda Stephano","GreaterEuropean","British","\N","F"
"Amanda Swearngin","GreaterEuropean","British","\N","F"
"Amanda Tasse","GreaterEuropean","Jewish","\N","F"
"Amanda Thart","GreaterEuropean","British","\N","F"
"Amanda Visconti","GreaterEuropean","WestEuropean","Italian","F"
"Amanda Whitty","GreaterEuropean","British","\N","F"
"Amanda Williams","GreaterEuropean","British","\N","F"
"Amandine Véber","GreaterAfrican","Africans","\N","F"
"Amani Alali","GreaterAfrican","Africans","\N","F"
"Amani Naseem","GreaterAfrican","Muslim","\N","F"
"Amani S. Ibrahim","GreaterAfrican","Muslim","\N","F"
"Amany Sarhan","GreaterAfrican","Muslim","\N","F"
"Amara Tariq","GreaterAfrican","Muslim","\N","F"
"Amber Choo","Asian","GreaterEastAsian","EastAsian","F"
"Amber Cushing","GreaterEuropean","British","\N","F"
"Amber E. Boydstun","GreaterEuropean","British","\N","F"
"Amber Horvath","GreaterEuropean","Jewish","\N","F"
"Amber R. Carini","GreaterEuropean","WestEuropean","Italian","F"
"Amber Wagner","GreaterEuropean","British","\N","F"
"Ambika Tripathi","Asian","IndianSubContinent","\N","F"
"Ambra Trotto","GreaterEuropean","British","\N","F"
"Ambreen Akhtar","GreaterAfrican","Muslim","\N","F"
"Ame Elliot","GreaterEuropean","British","\N","F"
"Ame Elliott","GreaterEuropean","British","\N","F"
"Amedea Ambrosetti","GreaterEuropean","WestEuropean","Italian","F"
"Amee Morgans","GreaterEuropean","British","\N","F"
"Amel Belaggoun","GreaterAfrican","Africans","\N","F"
"Amel Ben Othmane","GreaterAfrican","Africans","\N","F"
"Amel Bennaceur","GreaterEuropean","WestEuropean","French","F"
"Amel Halfaoui","GreaterAfrican","Muslim","\N","F"
"Amel Mammar","GreaterAfrican","Muslim","\N","F"
"Amela Prelic","GreaterEuropean","British","\N","F"
"Amelia C. Regan","GreaterEuropean","British","\N","F"
"Amelia G. White","GreaterEuropean","British","\N","F"
"Amelia R. Malone","GreaterEuropean","British","\N","F"
"Amelia Regan","GreaterEuropean","British","\N","F"
"Amelia Woodward","GreaterEuropean","British","\N","F"
"Amélie Cordier","GreaterEuropean","WestEuropean","French","F"
"Amélie David","GreaterEuropean","Jewish","\N","F"
"Amélie David 0001","GreaterEuropean","Jewish","\N","F"
"Amélie Gheerbrant","GreaterAfrican","Muslim","\N","F"
"Amelie Gyrard","GreaterEuropean","WestEuropean","French","F"
"Amélie Levray","GreaterEuropean","Jewish","\N","F"
"Amélie Marian","GreaterEuropean","British","\N","F"
"Amelie Medem Kuatse","Asian","GreaterEastAsian","Japanese","F"
"Amélie Rochet-Capellan","GreaterEuropean","British","\N","F"
"Amélie Rolland","GreaterEuropean","WestEuropean","French","F"
"Amelie Royer","GreaterEuropean","WestEuropean","French","F"
"Amélie Stainer","GreaterEuropean","British","\N","F"
"Amélie Turgeon","GreaterEuropean","WestEuropean","French","F"
"Ameni ben Fadhel","GreaterAfrican","Africans","\N","F"
"Ames Bielenberg","GreaterEuropean","Jewish","\N","F"
"Amey Bhangale","Asian","IndianSubContinent","\N","F"
"Amey Desai","Asian","IndianSubContinent","\N","F"
"Amey Holden","GreaterEuropean","British","\N","F"
"Amey Karkare","Asian","IndianSubContinent","\N","F"
"Amey Purandare","Asian","IndianSubContinent","\N","F"
"Amey V. Laud","GreaterEuropean","British","\N","F"
"Ameya Hate","Asian","IndianSubContinent","\N","F"
"Ameya Raul","Asian","IndianSubContinent","\N","F"
"Ameya Velingker","GreaterEuropean","Jewish","\N","F"
"Ami Eyal","GreaterAfrican","Africans","\N","F"
"Ami Litman","Asian","GreaterEastAsian","EastAsian","F"
"Ami Patel","Asian","IndianSubContinent","\N","F"
"Ami Paz","GreaterEuropean","WestEuropean","Hispanic","F"
"Amie L. Souter","GreaterEuropean","British","\N","F"
"Amina Aouine","GreaterAfrican","Africans","\N","F"
"Amina Cherouana","GreaterAfrican","Africans","\N","F"
"Amina Doumane","GreaterAfrican","Africans","\N","F"
"Aminah Yussuf","GreaterAfrican","Muslim","\N","F"
"Aminata Sabane","GreaterAfrican","Africans","\N","F"
"Amira Ghenai","GreaterAfrican","Muslim","\N","F"
"Amira Rahal","GreaterAfrican","Muslim","\N","F"
"Amira Soliman","GreaterAfrican","Africans","\N","F"
"Ammy Jiranida Phuwanartnurak","Asian","IndianSubContinent","\N","F"
"Amna Basharat","Asian","IndianSubContinent","\N","F"
"Amna Humayun","Asian","IndianSubContinent","\N","F"
"Amna Jamal","GreaterAfrican","Muslim","\N","F"
"Amor Solberg","GreaterEuropean","WestEuropean","Nordic","F"
"Amparo Elizabeth Cano","GreaterEuropean","WestEuropean","Hispanic","F"
"Amparo Elizabeth Cano Basave","GreaterEuropean","WestEuropean","Hispanic","F"
"Amrapali Zaveri","GreaterEuropean","Jewish","\N","F"
"Amrisha Vohra","GreaterAfrican","Muslim","\N","F"
"Amrita A. Nimbalkar","Asian","IndianSubContinent","\N","F"
"Amrita Chaturvedi","Asian","IndianSubContinent","\N","F"
"Amrita Pati","Asian","IndianSubContinent","\N","F"
"Amrita Saha","Asian","IndianSubContinent","\N","F"
"Amrita Thakur","Asian","IndianSubContinent","\N","F"
"Amruta Dhondage","Asian","IndianSubContinent","\N","F"
"Amruta Gokhale","Asian","IndianSubContinent","\N","F"
"Amruta Joshi","Asian","IndianSubContinent","\N","F"
"Amruta Karmarkar","GreaterAfrican","Muslim","\N","F"
"Amruta Purandare","Asian","IndianSubContinent","\N","F"
"Amruta Tamdoo","GreaterAfrican","Muslim","\N","F"
"Amrutha Sethuram","Asian","IndianSubContinent","\N","F"
"Amulya Yadav","Asian","IndianSubContinent","\N","F"
"Amy Barnes","GreaterEuropean","British","\N","F"
"Amy Braverman","GreaterEuropean","Jewish","\N","F"
"Amy Bruckman","GreaterEuropean","Jewish","\N","F"
"Amy C. Anderson","GreaterEuropean","British","\N","F"
"Amy C. Larson","GreaterEuropean","Jewish","\N","F"
"Amy Carney","GreaterEuropean","British","\N","F"
"Amy Catherine Ulinski","GreaterEuropean","EastEuropean","\N","F"
"Amy E. W. Morsch","GreaterEuropean","British","\N","F"
"Amy Freestone","GreaterEuropean","British","\N","F"
"Amy Gatto","GreaterEuropean","WestEuropean","Italian","F"
"Amy Greenwald","GreaterEuropean","Jewish","\N","F"
"Amy Grude","GreaterEuropean","Jewish","\N","F"
"Amy Guy","Asian","GreaterEastAsian","EastAsian","F"
"Amy Herzog","GreaterEuropean","Jewish","\N","F"
"Amy Huggard","GreaterEuropean","British","\N","F"
"Amy Hurst","GreaterEuropean","British","\N","F"
"Amy Ichnowski","GreaterEuropean","Jewish","\N","F"
"Amy Isard","Asian","GreaterEastAsian","Japanese","F"
"Amy Iverson","GreaterEuropean","British","\N","F"
"Amy Jang","Asian","GreaterEastAsian","EastAsian","F"
"Amy K. Karlson","GreaterEuropean","British","\N","F"
"Amy Kuo","Asian","GreaterEastAsian","EastAsian","F"
"Amy L. Baylor","GreaterEuropean","British","\N","F"
"Amy L. Gonzales","GreaterEuropean","Jewish","\N","F"
"Amy L. Murphy","GreaterEuropean","British","\N","F"
"Amy Lo","Asian","GreaterEastAsian","EastAsian","F"
"Amy Loutfi","GreaterEuropean","British","\N","F"
"Amy McGovern","GreaterEuropean","British","\N","F"
"Amy Nicole Langville","GreaterEuropean","WestEuropean","French","F"
"Amy O. Stevens","GreaterEuropean","British","\N","F"
"Amy Ogan","GreaterAfrican","Muslim","\N","F"
"Amy Ousterhout","GreaterEuropean","British","\N","F"
"Amy P. Felty","GreaterEuropean","Jewish","\N","F"
"Amy Pavel","GreaterEuropean","WestEuropean","Hispanic","F"
"Amy R. Pritchett","GreaterEuropean","British","\N","F"
"Amy R. Reibman","Asian","GreaterEastAsian","EastAsian","F"
"Amy S. Bruckman","GreaterEuropean","Jewish","\N","F"
"Amy S. Hwang","Asian","GreaterEastAsian","EastAsian","F"
"Amy She-Nash","Asian","GreaterEastAsian","Japanese","F"
"Amy Shi Nash","GreaterAfrican","Muslim","\N","F"
"Amy Siu","Asian","GreaterEastAsian","EastAsian","F"
"Amy Skopik","GreaterEuropean","EastEuropean","\N","F"
"Amy Spiegel","GreaterEuropean","Jewish","\N","F"
"Amy Sue Fire","GreaterEuropean","WestEuropean","Hispanic","F"
"Amy T. Parra","GreaterEuropean","WestEuropean","Hispanic","F"
"Amy Tabb","Asian","IndianSubContinent","\N","F"
"Amy Tan","Asian","GreaterEastAsian","EastAsian","F"
"Amy Unruh","GreaterEuropean","WestEuropean","Germanic","F"
"Amy Voida","GreaterEuropean","EastEuropean","\N","F"
"Amy Wang","Asian","GreaterEastAsian","EastAsian","F"
"Amy Weinberg","GreaterEuropean","Jewish","\N","F"
"Amy Wheeler","GreaterEuropean","British","\N","F"
"Amy X. Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Amy Zhang","Asian","GreaterEastAsian","EastAsian","F"
"An (Jack) Chan","Asian","GreaterEastAsian","EastAsian","F"
"An Binh Tran","Asian","GreaterEastAsian","Japanese","F"
"An Braeken","GreaterEuropean","British","\N","F"
"An C. Tran","Asian","GreaterEastAsian","Japanese","F"
"An Liu","Asian","GreaterEastAsian","EastAsian","F"
"An Lu","Asian","GreaterEastAsian","EastAsian","F"
"An Ngoc Lam","Asian","GreaterEastAsian","EastAsian","F"
"An Ping","Asian","GreaterEastAsian","EastAsian","F"
"An Tai","Asian","GreaterEastAsian","EastAsian","F"
"An Thanh Nguyen","GreaterEuropean","British","\N","F"
"An Tran","GreaterEuropean","British","\N","F"
"An Wang","Asian","GreaterEastAsian","EastAsian","F"
"An Yang","Asian","GreaterEastAsian","EastAsian","F"
"An Zhu","Asian","GreaterEastAsian","EastAsian","F"
"Ana Aguiar","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Almeida Matos","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Alves","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Armas Romero","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Armenta Lopez de Vicuña","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana B. Benitez","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana B. Sánchez","GreaterEuropean","EastEuropean","\N","F"
"Ana Belén Barragáns-Martínez","GreaterEuropean","WestEuropean","Italian","F"
"Ana Busic","GreaterEuropean","EastEuropean","\N","F"
"Ana C. Andrés del Valle","GreaterEuropean","WestEuropean","Nordic","F"
"Ana C. M. L. de Araujo","Asian","IndianSubContinent","\N","F"
"Ana C. Murillo","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana C. R. Paiva","Asian","IndianSubContinent","\N","F"
"Ana Carina Figueiredo","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Carolina Riekstin","GreaterEuropean","WestEuropean","Nordic","F"
"Ana Carolina Salgado","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cavalcanti","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cortés","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Costa","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cristina Benso da Silva","GreaterEuropean","WestEuropean","Italian","F"
"Ana Cristina Bicharra Garcia","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cristina Mendes","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cristina Murillo","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Cristina Vieira de Melo","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Erika Camargo Cruz","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Fernández Vilas","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Filipa Nogueira","Asian","GreaterEastAsian","Japanese","F"
"Ana Freire","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Gabriela Maguitman","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana García-Fornes","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Guseva","GreaterEuropean","EastEuropean","\N","F"
"Ana Iglesias","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Ivanovic","GreaterEuropean","EastEuropean","\N","F"
"Ana Jofre","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Karina Caraban","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana Karla A. de Medeiros","GreaterAfrican","Africans","\N","F"
"Ana Klimovic","GreaterEuropean","EastEuropean","\N","F"
"Ana L. C. Bazzan","GreaterEuropean","British","\N","F"
"Ana L. N. Fred","Asian","IndianSubContinent","\N","F"
"Ana Laura Diedrichs","GreaterEuropean","WestEuropean","French","F"
"Ana Lelescu","GreaterEuropean","WestEuropean","Hispanic","F"
"Ana León","GreaterEuropean","EastEuropean","\N","F"
"Ana Licuanan","GreaterEuropean","WestEuropean","Hispanic","F"
